City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
hilo,US,76.28,95,22,3.0,19.7297,-155.09,1659009810
daru,PG,75.76,90,86,19.15,-9.0763,143.2092,1659009810
axim,GH,80.56,67,70,13.22,4.8699,-2.2405,1659009810
itaituba,BR,82.0,59,49,2.3,-4.2761,-55.9836,1659009607
pappadatai,GR,97.65,27,19,6.82,39.3133,20.7925,1659009811
rosario do sul,BR,66.81,83,95,9.37,-30.2583,-54.9142,1659009811
marzuq,YE,93.36,28,59,10.36,14.4,46.4667,1659009811
albany,US,73.94,80,23,2.46,42.6001,-73.9662,1659009811
rocha,UY,52.77,96,100,12.82,-34.4833,-54.3333,1659009812
aklavik,CA,44.31,83,91,8.39,68.2191,-135.0107,1659009812
pevek,RU,39.33,80,29,6.78,69.7008,170.3133,1659009812
mataura,NZ,47.48,97,100,4.34,-46.1927,168.8643,1659009812
awjilah,LY,100.26,16,0,7.61,29.1081,21.2869,1659009812
half moon bay,US,61.05,91,100,8.05,37.4636,-122.4286,1659009766
vaini,TO,75.29,84,39,17.47,-21.2,-175.2,1659009812
thompson,CA,49.6,88,18,4.59,55.7435,-97.8558,1659009813
port alfred,ZA,68.18,80,14,7.0,-33.5906,26.891,1659009813
juli,PE,39.83,38,67,1.99,-16.2167,-69.45,1659009813
buala,SB,79.5,84,29,8.66,-8.145,159.5921,1659009813
saint george,US,74.62,76,0,0.0,37.1041,-113.5841,1659009814
hithadhoo,MV,81.9,76,100,15.3,-0.6,73.0833,1659009574
ushuaia,AR,34.34,94,81,7.9,-54.8,-68.3,1659009698
inuvik,CA,47.16,100,75,13.8,68.3499,-133.7218,1659009814
arraial do cabo,BR,70.41,71,0,17.47,-22.9661,-42.0278,1659009814
iqaluit,CA,47.7,76,100,1.99,63.7506,-68.5145,1659009814
liwale,TZ,81.25,34,47,5.35,-9.7667,37.9333,1659009815
salinas,US,58.41,93,100,8.05,36.6777,-121.6555,1659009704
leningradskiy,RU,34.54,88,100,3.65,69.3833,178.4167,1659009815
hokitika,NZ,49.62,86,90,2.75,-42.7167,170.9667,1659009815
sao filipe,CV,79.07,83,70,6.64,14.8961,-24.4956,1659009815
hambantota,LK,80.94,89,75,3.44,6.1241,81.1185,1659009816
hibbing,US,56.55,100,75,6.91,47.4272,-92.9377,1659009816
dunedin,NZ,44.8,81,100,8.99,-45.8742,170.5036,1659009817
honiara,SB,77.04,89,48,7.38,-9.4333,159.95,1659009817
noshiro,JP,72.48,88,10,3.31,40.2039,140.0242,1659009817
lubango,AO,75.51,19,58,2.82,-14.9172,13.4925,1659009818
busselton,AU,62.69,80,5,14.99,-33.65,115.3333,1659009818
chokurdakh,RU,52.32,49,64,9.86,70.6333,147.9167,1659009819
nerchinskiy zavod,RU,63.1,83,16,3.94,51.3088,119.61,1659009820
new norfolk,AU,44.1,85,59,1.01,-42.7826,147.0587,1659009820
tieling,CN,73.0,96,100,1.54,42.2931,123.8414,1659009820
qaanaaq,GL,37.54,74,18,2.89,77.484,-69.3632,1659009820
mitu,CO,70.27,99,100,2.24,1.1983,-70.1733,1659009821
khatanga,RU,69.33,48,82,9.95,71.9667,102.5,1659009590
tiksi,RU,56.26,92,100,10.22,71.6872,128.8694,1659009821
samarai,PG,78.84,84,88,15.84,-10.6167,150.6667,1659009821
rikitea,PF,73.65,66,20,20.27,-23.1203,-134.9692,1659009822
hobart,AU,44.46,78,75,11.5,-42.8794,147.3294,1659009798
shediac,CA,67.35,68,38,2.68,46.2198,-64.5411,1659009822
bathsheba,BB,83.05,83,70,16.73,13.2167,-59.5167,1659009822
atuona,PF,76.91,73,11,24.63,-9.8,-139.0333,1659009822
imbituba,BR,65.86,89,97,3.98,-28.24,-48.6703,1659009822
victoria,HK,89.94,75,2,13.0,22.2855,114.1577,1659009823
cherskiy,RU,46.31,64,43,7.2,68.75,161.3,1659009823
taihe,CN,84.15,69,36,3.06,30.8712,105.3845,1659009823
bredasdorp,ZA,73.45,39,0,8.52,-34.5322,20.0403,1659009823
bluff,NZ,47.8,79,100,8.63,-46.6,168.3333,1659009823
nizhniy kuranakh,RU,71.04,84,47,2.64,58.8353,125.4869,1659009823
upernavik,GL,40.89,85,100,1.39,72.7868,-56.1549,1659009824
east london,ZA,72.68,63,21,20.87,-33.0153,27.9116,1659009824
balkanabat,TM,100.4,24,8,7.0,39.5108,54.3671,1659009824
kaitangata,NZ,44.08,92,100,8.43,-46.2817,169.8464,1659009824
tuktoyaktuk,CA,40.32,90,100,11.86,69.4541,-133.0374,1659009701
sakaiminato,JP,80.4,88,83,6.55,35.55,133.2333,1659009824
carnarvon,AU,72.36,48,100,7.11,-24.8667,113.6333,1659009824
saskylakh,RU,72.68,49,100,5.5,71.9167,114.0833,1659009825
hofn,IS,51.82,87,75,4.61,64.2539,-15.2082,1659009825
isangel,VU,74.3,90,100,7.58,-19.55,169.2667,1659009825
provideniya,RU,46.6,95,100,2.62,64.3833,-173.3,1659009825
gualaquiza,EC,56.64,96,70,1.77,-3.4,-78.55,1659009825
luderitz,NA,59.05,72,3,8.39,-26.6481,15.1594,1659009669
punta arenas,CL,41.11,75,100,19.46,-53.15,-70.9167,1659009825
port blair,IN,83.21,74,77,6.44,11.6667,92.75,1659009825
lorengau,PG,82.08,77,34,10.71,-2.0226,147.2712,1659009826
jalu,LY,100.27,16,0,7.74,29.0331,21.5482,1659009826
tabou,CI,79.79,62,71,10.04,4.423,-7.3528,1659009826
lebu,CL,46.74,87,4,7.58,-37.6167,-73.65,1659009826
ribeira brava,PT,80.71,70,0,1.12,32.65,-17.0667,1659009826
marawi,PH,70.95,91,100,4.18,7.9986,124.2928,1659009826
kazachinskoye,RU,70.74,71,100,3.94,57.6953,93.2761,1659009826
port lincoln,AU,53.89,83,88,12.21,-34.7333,135.8667,1659009826
thunder bay,CA,56.44,88,98,13.04,48.4001,-89.3168,1659009827
avarua,CK,73.45,94,75,18.41,-21.2078,-159.775,1659009827
campbellton,CA,66.96,73,84,0.98,48.0075,-66.6727,1659009827
gobabis,NA,78.55,17,37,17.67,-22.45,18.9667,1659009828
jamestown,US,73.02,74,100,9.22,42.097,-79.2353,1659009828
hermanus,ZA,69.8,55,0,7.87,-34.4187,19.2345,1659009756
socorro,US,76.37,62,75,6.91,31.6546,-106.3033,1659009829
waingapu,ID,75.18,79,90,13.44,-9.6567,120.2641,1659009829
huarmey,PE,60.8,89,26,8.46,-10.0681,-78.1522,1659009829
ribeira grande,PT,75.6,69,20,4.61,38.5167,-28.7,1659009829
chuy,UY,62.42,98,100,6.02,-33.6971,-53.4616,1659009830
choya,RU,78.39,55,7,4.09,52.0108,86.5467,1659009830
la rioja,ES,71.38,38,13,8.14,42.25,-2.5,1659009830
sihora,IN,85.33,79,100,7.02,23.4833,80.1167,1659009830
souillac,MU,72.84,73,27,12.24,-20.5167,57.5167,1659009830
tambo,PE,37.11,47,34,5.1,-14.8,-73.9167,1659009830
kavieng,PG,83.3,78,80,19.28,-2.5744,150.7967,1659009830
hita,JP,85.08,92,34,4.54,33.3167,130.9333,1659009831
lithakia,GR,94.28,46,20,5.75,37.7167,20.8333,1659009831
puerto ayora,EC,69.62,90,91,9.78,-0.7393,-90.3518,1659009831
kahului,US,75.85,83,3,5.99,20.8947,-156.47,1659009831
korla,CN,101.55,10,13,7.47,41.7597,86.1469,1659009831
dikson,RU,43.23,95,76,14.23,73.5069,80.5464,1659009817
kodiak,US,50.92,67,60,6.15,57.79,-152.4072,1659009783
ankang,CN,81.75,61,0,1.03,32.68,109.0172,1659009832
chau doc,VN,81.61,82,58,6.73,10.7,105.1167,1659009832
vysha,RU,82.62,47,64,5.19,53.8477,42.3777,1659009832
tura,IN,77.49,92,99,2.44,25.5198,90.2201,1659009832
katwa,IN,92.19,52,100,4.12,23.6399,88.128,1659009833
turayf,SA,100.33,7,0,4.29,31.6725,38.6637,1659009621
mildura,AU,50.07,86,90,8.25,-34.2,142.15,1659009833
algiers,DZ,87.62,51,0,10.36,36.7525,3.042,1659009764
namatanai,PG,79.99,79,100,11.95,-3.6667,152.4333,1659009833
lavrentiya,RU,42.01,89,100,4.16,65.5833,-171.0,1659009617
acari,PE,60.94,83,76,4.94,-15.4311,-74.6158,1659009833
yellowknife,CA,60.57,77,100,8.99,62.456,-114.3525,1659009833
san felipe,VE,74.17,92,94,2.62,10.3399,-68.7425,1659009833
barrow,US,33.01,98,100,13.76,71.2906,-156.7887,1659009834
orsta,NO,65.62,55,76,6.91,62.2029,6.1272,1659009834
dingle,PH,79.18,86,100,5.84,10.9995,122.6711,1659009834
pisco,PE,58.82,88,38,2.84,-13.7,-76.2167,1659009834
fortuna,US,56.93,93,100,0.0,40.5982,-124.1573,1659009834
biloli,IN,86.61,68,88,5.01,18.7667,77.7333,1659009835
cape town,ZA,73.35,41,0,7.0,-33.9258,18.4232,1659009605
valparaiso,CL,50.47,78,0,4.61,-33.0393,-71.6273,1659009655
conde,BR,76.93,78,9,13.35,-7.2597,-34.9075,1659009811
tanout,NE,83.8,47,100,16.96,14.9709,8.8879,1659009835
moundou,TD,81.12,71,95,0.76,8.5667,16.0833,1659009835
mirabad,AF,106.09,16,100,9.04,30.4362,61.8383,1659009835
maragogi,BR,76.17,82,64,8.12,-9.0122,-35.2225,1659009836
moerai,PF,72.64,72,96,23.09,-22.4333,-151.3333,1659009836
menzelinsk,RU,75.27,46,17,7.63,55.7271,53.1026,1659009837
petropavlovsk-kamchatskiy,RU,57.79,100,75,6.71,53.0452,158.6483,1659009574
kruisfontein,ZA,73.89,44,0,9.37,-34.0033,24.7314,1659009837
camacha,PT,72.82,69,75,13.8,33.0833,-16.3333,1659009837
huntly,GB,63.95,69,100,12.5,57.4474,-2.7861,1659009837
college,US,46.22,85,61,2.68,64.8569,-147.8028,1659009838
evensk,RU,54.52,69,81,3.67,61.95,159.2333,1659009838
auki,SB,77.05,88,14,5.21,-8.7676,160.7034,1659009838
meulaboh,ID,78.62,82,100,4.16,4.1363,96.1285,1659009697
longyan,CN,74.8,90,90,3.02,25.1072,117.0225,1659009838
torbay,CA,67.26,87,40,8.05,47.6666,-52.7314,1659009838
abohar,IN,85.62,75,91,7.78,30.15,74.1833,1659009839
cap malheureux,MU,74.46,66,2,7.0,-19.9842,57.6142,1659009839
port hardy,CA,55.58,94,20,3.44,50.6996,-127.4199,1659009839
